Object,Confidence
car,0.8919694423675537
car,0.8861481547355652
car,0.8764339685440063
car,0.8762305378913879
car,0.8744884133338928
car,0.873110830783844
car,0.8637334108352661
car,0.8464540243148804
car,0.8272145986557007
car,0.8102622628211975
car,0.808582067489624
car,0.7817586660385132
car,0.7462169528007507
car,0.7199703454971313
car,0.7105876207351685
car,0.6982583999633789
car,0.6866463422775269
car,0.6866117715835571
car,0.6400147676467896
car,0.6363669037818909
car,0.6216301918029785
car,0.6131420135498047
car,0.5882554054260254
car,0.5853106379508972
car,0.5688261985778809
car,0.5135440230369568
car,0.5023124814033508
car,0.4894520938396454
car,0.48832061886787415
car,0.4515249729156494
car,0.39129430055618286
car,0.390232652425766
car,0.37006863951683044
car,0.32693013548851013
car,0.3260883688926697
car,0.31021782755851746
car,0.28263041377067566
car,0.280346542596817
